N,K,N2,CRC_for_ABP,DampFixed,SNR,testFrames,errorFrames,FER,BER,IT
128,96,10,12,0.04,2.00,1000,82,8.200000e-02,4.184000e-02,32.1970
128,96,10,12,0.04,2.50,1800,50,2.778000e-02,1.398000e-02,18.8070
128,96,10,12,0.04,3.00,8000,50,6.250000e-03,3.095000e-03,12.1490
128,96,10,12,0.04,3.50,78700,50,6.353000e-04,3.122000e-04,9.0180
128,96,10,12,0.04,4.00,462300,50,1.082000e-04,5.378000e-05,7.2570
128,96,10,12,0.06,1.00,1000,236,2.360000e-01,1.183000e-01,63.6620
128,96,10,12,0.06,1.50,1000,132,1.320000e-01,6.590000e-02,40.2700
128,96,10,12,0.06,2.00,1300,50,3.846000e-02,1.954000e-02,19.1940
128,96,10,12,0.06,2.50,5200,50,9.615000e-03,4.804000e-03,11.5450
128,96,10,12,0.06,3.00,22500,50,2.222000e-03,1.083000e-03,8.1100
128,96,10,12,0.06,3.50,261600,50,1.911000e-04,9.497000e-05,6.2610
128,96,10,12,0.06,4.00,2038900,50,2.452000e-05,1.238000e-05,5.0820
128,96,10,12,0.08,1.00,1000,197,1.970000e-01,9.878000e-02,55.7030
128,96,10,12,0.08,1.50,1000,90,9.000000e-02,4.523000e-02,32.0240
128,96,10,12,0.08,2.00,1900,52,2.737000e-02,1.382000e-02,16.0650
128,96,10,12,0.08,2.50,7300,50,6.849000e-03,3.428000e-03,9.0590
128,96,10,12,0.08,3.00,54300,50,9.208000e-04,4.470000e-04,6.2030
128,96,10,12,0.08,3.50,517800,50,9.656000e-05,4.669000e-05,4.9190
128,96,10,12,0.08,4.00,3740300,50,1.337000e-05,6.726000e-06,4.0060
128,96,10,12,0.10,1.00,1000,174,1.740000e-01,8.705000e-02,52.7400
128,96,10,12,0.10,1.50,1000,84,8.400000e-02,4.201000e-02,30.1850
128,96,10,12,0.10,2.00,1900,53,2.789000e-02,1.433000e-02,14.0410
128,96,10,12,0.10,2.50,9300,50,5.376000e-03,2.665000e-03,7.7060
128,96,10,12,0.10,3.00,84600,50,5.910000e-04,2.929000e-04,5.1860
128,96,10,12,0.10,3.50,728600,50,6.862000e-05,3.338000e-05,4.1150
128,96,10,12,0.10,4.00,5708200,50,8.759000e-06,4.440000e-06,3.3660
128,96,10,12,0.12,1.00,1000,175,1.750000e-01,8.730000e-02,51.9370
128,96,10,12,0.12,1.50,1000,83,8.300000e-02,4.154000e-02,28.3600
128,96,10,12,0.12,2.00,2400,52,2.167000e-02,1.106000e-02,13.3000
128,96,10,12,0.12,2.50,10900,50,4.587000e-03,2.257000e-03,6.8370
128,96,10,12,0.12,3.00,90900,50,5.501000e-04,2.734000e-04,4.5600
128,96,10,12,0.12,3.50,738900,50,6.767000e-05,3.313000e-05,3.5970
128,96,10,12,0.12,4.00,6701800,50,7.461000e-06,3.659000e-06,2.9450
128,96,10,12,0.15,1.00,1000,177,1.770000e-01,8.856000e-02,51.3440
128,96,10,12,0.15,1.50,1000,77,7.700000e-02,3.853000e-02,28.9790
128,96,10,12,0.15,2.00,2200,50,2.273000e-02,1.150000e-02,12.0500
128,96,10,12,0.15,2.50,12400,50,4.032000e-03,2.026000e-03,6.1900
128,96,10,12,0.15,3.00,98500,50,5.076000e-04,2.507000e-04,3.9800
128,96,10,12,0.15,3.50,747900,50,6.685000e-05,3.234000e-05,3.0920
128,96,10,12,0.15,4.00,8263000,50,6.051000e-06,3.004000e-06,2.5300
128,96,10,12,0.20,1.00,1000,188,1.880000e-01,9.424000e-02,53.6980
128,96,10,12,0.20,1.50,1000,83,8.300000e-02,4.136000e-02,29.7810
128,96,10,12,0.20,2.00,2600,53,2.038000e-02,1.026000e-02,12.4080
128,96,10,12,0.20,2.50,11200,50,4.464000e-03,2.218000e-03,5.7750
128,96,10,12,0.20,3.00,78400,50,6.378000e-04,3.156000e-04,3.5000
128,96,10,12,0.20,3.50,739100,50,6.765000e-05,3.353000e-05,2.6220
128,96,10,12,0.20,4.00,8292700,50,6.029000e-06,2.946000e-06,2.1300
128,96,15,12,0.02,1.00,1000,934,9.340000e-01,4.673000e-01,283.2430
128,96,15,12,0.02,1.50,1000,879,8.790000e-01,4.387000e-01,269.5200
128,96,15,12,0.02,2.00,1000,747,7.470000e-01,3.720000e-01,236.4280
128,96,15,12,0.02,2.50,1000,576,5.760000e-01,2.881000e-01,189.2120
128,96,15,12,0.02,3.00,1000,372,3.720000e-01,1.858000e-01,130.3730
128,96,15,12,0.02,3.50,1000,186,1.860000e-01,9.290000e-02,74.3870
128,96,15,12,0.02,4.00,1000,106,1.060000e-01,5.332000e-02,50.7240
128,96,15,12,0.04,1.00,1000,397,3.970000e-01,1.988000e-01,137.1160
128,96,15,12,0.04,1.50,1000,228,2.280000e-01,1.141000e-01,87.2090
128,96,15,12,0.04,2.00,1000,78,7.800000e-02,3.968000e-02,40.1820
128,96,15,12,0.04,2.50,1900,51,2.684000e-02,1.345000e-02,22.0570
128,96,15,12,0.04,3.00,9900,50,5.051000e-03,2.479000e-03,12.5420
128,96,15,12,0.04,3.50,95800,50,5.219000e-04,2.595000e-04,9.0830
128,96,15,12,0.04,4.00,737500,50,6.780000e-05,3.398000e-05,7.2580
128,96,15,12,0.06,1.00,1000,229,2.290000e-01,1.156000e-01,87.0010
128,96,15,12,0.06,1.50,1000,113,1.130000e-01,5.670000e-02,51.7650
128,96,15,12,0.06,2.00,1300,51,3.923000e-02,1.985000e-02,23.4880
128,96,15,12,0.06,2.50,6000,50,8.333000e-03,4.175000e-03,12.5750
128,96,15,12,0.06,3.00,40200,50,1.244000e-03,6.053000e-04,8.1680
